Name,Link,Costs,Platforms,Categories,Tags,Description
MAGIX Music Maker,https://www.magix.com/us/music/music-maker/,"Free, Paid",Windows,Music Editor,,
Audiotool,https://www.audiotool.com/,Free,Web,Music Editor,Collaborate with others,
Soundation,https://soundation.com/,"Free, Subscription",Web,Music Editor,Collaborate with others,
Soundtrap,https://www.soundtrap.com/,"Free, Subscription",Web,Music Editor,Collaborate with others,
Splice,https://splice.com/,Free,Web,Music Editor,Collaborate with others,
DefleMask,http://deflemask.com/,Free,"Windows, Mac, Linux",Music Tracker,Retro Hardware Clone,
OpenMPT,https://openmpt.org/,Free,Windows,Music Tracker,Retro Hardware Clone,"Clone of Impulse Tracker, FastTracker, Scream Tracker and ProTracker"
Psycle,https://sourceforge.net/projects/psycle/,Free,"Windows, Linux",Music Tracker,Retro Hardware Clone,"FastTracker II  Clone, ProTracker Clone"
Milky Tracker,https://milkytracker.titandemo.org/,Free,"Windows, Mac, Linux",Music Tracker,Retro Hardware Clone,"FastTracker II Clone, ProTracker Clone"
16-bits FT2,https://16-bits.org/ft2.php,Free,"Windows, Mac, Linux",Music Tracker,Retro Hardware Clone,FastTracker II  Clone
16-bits PT,https://16-bits.org/pt.php,Free,"Windows, Mac",Music Tracker,Retro Hardware Clone,ProTracker Clone
Schism Tracker,http://schismtracker.org/,Free,"Windows, Mac, Linux",Music Tracker,Retro Hardware Clone,Impulse Tracker Clone
Renoise,https://www.renoise.com/products/,"Trial, Paid","Windows, Mac, Linux","Music Tracker, DAW",,
MadTrakcer,http://www.madtracker.org/,Free,Windows,Music Tracker,,
Klystrack,https://kometbomb.github.io/klystrack/,Free,"Windows, Linux",Music Tracker,Retro Hardware Clone,
Bosca Ceoil,https://boscaceoil.net/,Free,"Windows, Mac, Linux, Web",Music Tracker,,
Tracktion Waverazor,https://www.tracktion.com/products/waverazor,"Free, Trial, Paid","Windows, Mac, Linux",Virtual Modular Synthesizer,,
VCV Rack,https://vcvrack.com/,Free,"Windows, Mac, Linux",Virtual Modular Synthesizer,,
SunVox,http://www.warmplace.ru/soft/sunvox/,Free,"Windows, Mac, Linux, iOS, Android",Virtual Modular Synthesizer,,
Audio Sauna,http://www.audiosauna.com/,Free,Web,Virtual Modular Synthesizer,Chrome Plug-in,Also available as a Google Chrome Plug-in
ZynAddSubFX,http://zynaddsubfx.sourceforge.net/,"Trial, Paid","Windows, Mac, Linux",Virtual Modular Synthesizer,,
Traktor,https://www.native-instruments.com/en/products/traktor/dj-software/,"Free, Paid","Windows, Mac, iOS",DJ,,
Mixxx,https://mixxx.org/,Free,"Windows, Mac, Linux",DJ,,
djay,https://www.algoriddim.com/,"Trial, Paid","Windows, Mac, iOS, Android",DJ,,
Deckadance,http://www.stantondj.com/deckadance-2.html,"Free, Paid","Windows, Mac",DJ,,
Serato DJ,https://serato.com/dj,"Free, Subscription","Windows, Mac",DJ,,
Cross DJ,http://www.mixvibes.com/cross-dj-software-mac-pc/,"Trial, Paid","Windows, Mac, iOS, Android",DJ,,
Giada,https://www.giadamusic.com/index,Free,"Windows, Mac, Linux",DJ,,
FMOD Studio,https://www.fmod.com/studio,"Free, Paid","Windows, Mac, Linux",Video Game SFX,,
Wwise Audiokinetic,https://www.audiokinetic.com/products/wwise/,"Free, Paid","Windows, Mac, Linux",Video Game SFX,,
Bfxr,https://www.bfxr.net/,Free,"Windows, Mac, Web",Video Game SFX,,
Fabric,http://www.tazman-audio.co.uk/,"Free, Paid","Windows, Mac, Linux",Video Game SFX,Unity Plug-in,
Facebook 360,https://facebook360.fb.com/spatial-workstation/,Free,"Windows, Mac",Video Game SFX,,
Astound Sound,http://www.astoundholdings.com/,Paid,"Windows, Mac, Linux",Video Game SFX,,
Steinberg Nuendo,https://www.steinberg.net/en/products/nuendo/game_audio.html,Paid,"Windows, Mac",Video Game SFX,,
Leshy SF Designer,https://www.leshylabs.com/apps/sfMaker/,Free,Web,Video Game SFX,,
LabChirp,http://labbed.net/software/labchirp/,Free,Windows,Video Game SFX,,
Footsteps Generator,https://thesoundpacktree.com/pages/footsteps-generator01,Free,Web,Video Game SFX,,
Krotos,https://www.krotosaudio.com/products/,Paid,"Windows, Mac",Video Game SFX,,
Elias Studio,https://eliassoftware.com/,"Free, Paid","Windows, Mac","Daw, Adaptive Music",,
Filmstro,https://filmstro.com/products,Free,"Windows, Mac, iOS","Music Editor, Adaptive Music","Adobe Premiere Plug-in, Final Cut Pro Plug-in","Also available as Plug-in for Adobe Premiere, and Final Cut Pro"
SynthFont,http://www.synthfont.com/,"Free, Paid",Windows,MIDI Editor,,
MultitrackStudio,https://www.multitrackstudio.com/,"Free, Paid","Windows, Mac, iOS",MIDI Editor,,
Anvil Studio,http://www.anvilstudio.com/,Free,Windows,"MIDI Editor, Music Notation",,
Rose Garden ,https://rosegardenmusic.com/,Free,"Windows, Linux","MIDI Editor, Music Notation",,
Viena,http://www.synthfont.com/Viena_news.html,Free,Windows,MIDI Editor,SoundFont Editor,
Polyphone,https://www.polyphone-soundfonts.com/en/,Free,"Windows, Mac, Linux",MIDI Editor,SoundFont Editor,
Scala,http://www.huygens-fokker.org/scala/,Free,"Windows, Mac, Linux",MIDI Editor,MIDI Scale Tuner,
Finale,https://www.finalemusic.com/,"Trial, Paid","Windows, Mac",Music Notation,,
Forte,https://www.fortenotation.com/en/,"Free, Trial, Paid",Windows,Music Notation,,
MuseScore,https://musescore.org/en,Free,"Windows, Mac, Linux",Music Notation,,
Lilypond,http://lilypond.org/,Free,"Windows, Mac, Linux",Music Notation,,
Denemo,http://denemo.org/,Free,"Windows, Mac, Linux",Music Notation,,
Avid Sibelius,https://www.avid.com/sibelius,"Trial, Paid","Windows, Mac",Music Notation,,
Steinberg Dorico,https://www.dorico.com/,"Trial, Paid","Windows, Mac",Music Notation,,
Presonus Notion,https://www.presonus.com/products/notion,"Trial, Paid","Windows, Mac",Music Notation,,
Presonus Progression,https://www.presonus.com/products/progression,"Trial, Paid","Windows, Mac",Music Notation,,
Magic Score,http://www.musicaleditor.com/,"Trial, Paid",Windows,Music Notation,,
ScoreCloud,https://scorecloud.com/,"Free, Subscription","Windows, Mac, iOS",Music Notation,Includes Cloud Save,
Musink,https://musink.net/,"Free, Paid",Windows,Music Notation,,
Noteflight,https://www.noteflight.com/,"Free, Subscription",Web,Music Notation,Cloud Platforms,
NoteWorthy Composer,https://noteworthycomposer.com/,"Free, Paid",Windows,Music Notation,,
Overture,http://sonicscores.com/overture/,"Trial, Paid","Windows, Mac",Music Notation,,
Capella,https://www.capella-software.com/us/,"Trial, Paid","Windows, Mac",Music Notation,,
imitone,http://imitone.com/,Paid,"Windows, Mac","Music Editor, VST",VST Plug-in,"Voice to MIDI, also available as a VST Plug-in"
